codigo_pais,pais,nivel_ingreso,a�o,codigo_indicador,energia_per_capita
AFE,Africa Eastern and Southern,,1980,EG.USE.PCAP.KG.OE,775.82
AFE,Africa Eastern and Southern,,1981,EG.USE.PCAP.KG.OE,795.14
AFE,Africa Eastern and Southern,,1982,EG.USE.PCAP.KG.OE,809.5
AFE,Africa Eastern and Southern,,1983,EG.USE.PCAP.KG.OE,803.6
AFE,Africa Eastern and Southern,,1984,EG.USE.PCAP.KG.OE,823.39
AFE,Africa Eastern and Southern,,1985,EG.USE.PCAP.KG.OE,811.54
AFE,Africa Eastern and Southern,,1986,EG.USE.PCAP.KG.OE,817.26
AFE,Africa Eastern and Southern,,1987,EG.USE.PCAP.KG.OE,819.51
AFE,Africa Eastern and Southern,,1988,EG.USE.PCAP.KG.OE,824.51
AFE,Africa Eastern and Southern,,1989,EG.USE.PCAP.KG.OE,791.29
AFE,Africa Eastern and Southern,,1990,EG.USE.PCAP.KG.OE,770.04
AFE,Africa Eastern and Southern,,1991,EG.USE.PCAP.KG.OE,773.33
AFE,Africa Eastern and Southern,,1992,EG.USE.PCAP.KG.OE,732.67
AFE,Africa Eastern and Southern,,1993,EG.USE.PCAP.KG.OE,742.81
AFE,Africa Eastern and Southern,,1994,EG.USE.PCAP.KG.OE,743.13
AFE,Africa Eastern and Southern,,1995,EG.USE.PCAP.KG.OE,751.66
AFE,Africa Eastern and Southern,,1996,EG.USE.PCAP.KG.OE,750.55
AFE,Africa Eastern and Southern,,1997,EG.USE.PCAP.KG.OE,750.59
AFE,Africa Eastern and Southern,,1998,EG.USE.PCAP.KG.OE,739.75
AFE,Africa Eastern and Southern,,1999,EG.USE.PCAP.KG.OE,740.76
AFE,Africa Eastern and Southern,,2000,EG.USE.PCAP.KG.OE,727.11
AFE,Africa Eastern and Southern,,2001,EG.USE.PCAP.KG.OE,732.36
AFE,Africa Eastern and Southern,,2002,EG.USE.PCAP.KG.OE,720.04
AFE,Africa Eastern and Southern,,2003,EG.USE.PCAP.KG.OE,733.78
AFE,Africa Eastern and Southern,,2004,EG.USE.PCAP.KG.OE,751.43
AFE,Africa Eastern and Southern,,2005,EG.USE.PCAP.KG.OE,742.79
AFE,Africa Eastern and Southern,,2006,EG.USE.PCAP.KG.OE,736.89
AFE,Africa Eastern and Southern,,2007,EG.USE.PCAP.KG.OE,749.88
AFE,Africa Eastern and Southern,,2008,EG.USE.PCAP.KG.OE,773.64
AFE,Africa Eastern and Southern,,2009,EG.USE.PCAP.KG.OE,759.74
AFE,Africa Eastern and Southern,,2010,EG.USE.PCAP.KG.OE,749.14
AFE,Africa Eastern and Southern,,2011,EG.USE.PCAP.KG.OE,743.41
AFE,Africa Eastern and Southern,,2012,EG.USE.PCAP.KG.OE,722.25
AFE,Africa Eastern and Southern,,2013,EG.USE.PCAP.KG.OE,719.01
AFW,Africa Western and Central,,1980,EG.USE.PCAP.KG.OE,565.26
AFW,Africa Western and Central,,1981,EG.USE.PCAP.KG.OE,571.13
AFW,Africa Western and Central,,1982,EG.USE.PCAP.KG.OE,578.79
AFW,Africa Western and Central,,1983,EG.USE.PCAP.KG.OE,571.96
AFW,Africa Western and Central,,1984,EG.USE.PCAP.KG.OE,561.51
AFW,Africa Western and Central,,1985,EG.USE.PCAP.KG.OE,564.93
AFW,Africa Western and Central,,1986,EG.USE.PCAP.KG.OE,559.5
AFW,Africa Western and Central,,1987,EG.USE.PCAP.KG.OE,563.57
AFW,Africa Western and Central,,1988,EG.USE.PCAP.KG.OE,561.58
AFW,Africa Western and Central,,1989,EG.USE.PCAP.KG.OE,565.07
AFW,Africa Western and Central,,1990,EG.USE.PCAP.KG.OE,561.65
AFW,Africa Western and Central,,1991,EG.USE.PCAP.KG.OE,577.05
AFW,Africa Western and Central,,1992,EG.USE.PCAP.KG.OE,584.17
AFW,Africa Western and Central,,1993,EG.USE.PCAP.KG.OE,580.26
AFW,Africa Western and Central,,1994,EG.USE.PCAP.KG.OE,557.35
AFW,Africa Western and Central,,1995,EG.USE.PCAP.KG.OE,558.53
AFW,Africa Western and Central,,1996,EG.USE.PCAP.KG.OE,569.92
AFW,Africa Western and Central,,1997,EG.USE.PCAP.KG.OE,573.25
AFW,Africa Western and Central,,1998,EG.USE.PCAP.KG.OE,565.85
AFW,Africa Western and Central,,1999,EG.USE.PCAP.KG.OE,575.67
AFW,Africa Western and Central,,2000,EG.USE.PCAP.KG.OE,544.71
AFW,Africa Western and Central,,2001,EG.USE.PCAP.KG.OE,551.73
AFW,Africa Western and Central,,2002,EG.USE.PCAP.KG.OE,555.35
AFW,Africa Western and Central,,2003,EG.USE.PCAP.KG.OE,564.63
AFW,Africa Western and Central,,2004,EG.USE.PCAP.KG.OE,571.02
AFW,Africa Western and Central,,2005,EG.USE.PCAP.KG.OE,577.48
AFW,Africa Western and Central,,2006,EG.USE.PCAP.KG.OE,570.66
AFW,Africa Western and Central,,2007,EG.USE.PCAP.KG.OE,575.19
AFW,Africa Western and Central,,2008,EG.USE.PCAP.KG.OE,577.9
AFW,Africa Western and Central,,2009,EG.USE.PCAP.KG.OE,563.74
AFW,Africa Western and Central,,2010,EG.USE.PCAP.KG.OE,588.11
AFW,Africa Western and Central,,2011,EG.USE.PCAP.KG.OE,600.95
AFW,Africa Western and Central,,2012,EG.USE.PCAP.KG.OE,614.84
AFW,Africa Western and Central,,2013,EG.USE.PCAP.KG.OE,612.82
AGO,Angola,Lower middle income,1980,EG.USE.PCAP.KG.OE,547.78
AGO,Angola,Lower middle income,1981,EG.USE.PCAP.KG.OE,532.14
AGO,Angola,Lower middle income,1982,EG.USE.PCAP.KG.OE,506.39
